name,full_name ,Area (Land),Area (Water),FIPS,Total population,non_hispanic,non_hispanic_white,non_hispanic_black,non_hispanic_native,non_hispanic_asian,non_hispanic_PI,non_hispanic_other,non_hispanic_multi,hispanic_total,hispanic_white,hispanic_black,hispanic_native,hispanic_asian,hispanic_PI,hispanic_other,hispanic_multi,percent_non_hispanic,percent_non_hispanic_white,percent_non_hispanic_black,percent_non_hispanic_native,percent_non_hispanic_asian,percent_non_hispanic_PI,percent_non_hispanic_other,percent_non_hispanic_multi,percent_total_hispanic,percent_hispanic_white,percent_hispanic_black,percent_hispanic_native,percent_hispanic_asian,percent_hispanic_PI,percent_hispanic_other,percent_hispanic_multi,percent_nonwhite
Autauga County,"Autauga County, Alabama",1539582278,25775735,01001,54571,53261,42154,9595,217,467,22,45,761,1310,701,48,15,7,10,421,108,97.6,77.25,17.58,0.4,0.86,0.04,0.08,1.39,2.4,1.28,0.09,0.03,0.01,0.02,0.77,0.2,22.75
Baldwin County,"Baldwin County, Alabama",4117521611,1133190229,01003,182265,174273,152200,16966,1146,1340,79,245,2297,7992,3953,139,70,8,10,3386,426,95.62,83.5,9.31,0.63,0.74,0.04,0.13,1.26,4.38,2.17,0.08,0.04,0,0.01,1.86,0.23,16.5
Barbour County,"Barbour County, Alabama",2291818968,50864716,01005,27457,26070,12837,12820,60,107,24,13,209,1387,343,55,54,0,5,881,49,94.95,46.75,46.69,0.22,0.39,0.09,0.05,0.76,5.05,1.25,0.2,0.2,0,0.02,3.21,0.18,53.25
Bibb County,"Bibb County, Alabama",1612480789,9289057,01007,22915,22509,17191,5024,64,22,7,20,181,406,190,23,0,0,6,165,22,98.23,75.02,21.92,0.28,0.1,0.03,0.09,0.79,1.77,0.83,0.1,0,0,0.03,0.72,0.1,24.98
Blount County,"Blount County, Alabama",1669961855,15157440,01009,57322,52696,50952,724,285,115,18,35,567,4626,2116,37,22,2,20,2312,117,91.93,88.89,1.26,0.5,0.2,0.03,0.06,0.99,8.07,3.69,0.06,0.04,0,0.03,4.03,0.2,11.11
Bullock County,"Bullock County, Alabama",1613056905,6056528,01011,10914,10137,2392,7637,20,20,4,5,59,777,115,29,3,0,39,564,27,92.88,21.92,69.97,0.18,0.18,0.04,0.05,0.54,7.12,1.05,0.27,0.03,0,0.36,5.17,0.25,78.08
Butler County,"Butler County, Alabama",2011976894,2726814,01013,20947,20756,11324,9047,59,174,7,3,142,191,75,48,1,3,0,45,19,99.09,54.06,43.19,0.28,0.83,0.03,0.01,0.68,0.91,0.36,0.23,0,0.01,0,0.21,0.09,45.94
Calhoun County,"Calhoun County, Alabama",1569189995,16624267,01015,118572,114679,87285,24177,480,830,94,109,1704,3893,1555,205,60,15,2,1785,271,96.72,73.61,20.39,0.4,0.7,0.08,0.09,1.44,3.28,1.31,0.17,0.05,0.01,0,1.51,0.23,26.39
Chambers County,"Chambers County, Alabama",1545009282,17048142,01017,34215,33679,19893,13206,57,166,7,23,327,536,219,51,12,2,3,191,58,98.43,58.14,38.6,0.17,0.49,0.02,0.07,0.96,1.57,0.64,0.15,0.04,0.01,0.01,0.56,0.17,41.86
Cherokee County,"Cherokee County, Alabama",1434075952,119858898,01019,25989,25669,23929,1206,122,49,1,15,347,320,152,2,13,5,0,108,40,98.77,92.07,4.64,0.47,0.19,0,0.06,1.34,1.23,0.58,0.01,0.05,0.02,0,0.42,0.15,7.93
Chilton County,"Chilton County, Alabama",1794483586,20586383,01021,43643,40223,35395,4171,134,125,11,34,353,3420,1318,59,21,5,44,1820,153,92.16,81.1,9.56,0.31,0.29,0.03,0.08,0.81,7.84,3.02,0.14,0.05,0.01,0.1,4.17,0.35,18.9
Choctaw County,"Choctaw County, Alabama",2365954748,19059251,01023,13859,13786,7700,5990,18,12,0,10,56,73,31,22,0,0,0,18,2,99.47,55.56,43.22,0.13,0.09,0,0.07,0.4,0.53,0.22,0.16,0,0,0,0.13,0.01,44.44
Clarke County,"Clarke County, Alabama",3207609488,36542656,01025,25833,25562,13943,11280,96,74,4,9,156,271,127,56,7,3,0,58,20,98.95,53.97,43.67,0.37,0.29,0.02,0.03,0.6,1.05,0.49,0.22,0.03,0.01,0,0.22,0.08,46.03
Clay County,"Clay County, Alabama",1564252280,5284628,01027,13932,13533,11186,2048,55,23,0,5,216,399,194,18,0,1,0,167,19,97.14,80.29,14.7,0.39,0.17,0,0.04,1.55,2.86,1.39,0.13,0,0.01,0,1.2,0.14,19.71
Cleburne County,"Cleburne County, Alabama",1450652767,2365681,01029,14972,14665,13956,494,50,23,1,4,137,307,123,4,1,0,9,147,23,97.95,93.21,3.3,0.33,0.15,0.01,0.03,0.92,2.05,0.82,0.03,0.01,0,0.06,0.98,0.15,6.79
Coffee County,"Coffee County, Alabama",1758528786,3944730,01031,49948,46768,36134,8257,602,629,51,52,1043,3180,1196,102,43,15,49,1571,204,93.63,72.34,16.53,1.21,1.26,0.1,0.1,2.09,6.37,2.39,0.2,0.09,0.03,0.1,3.15,0.41,27.66
Colbert County,"Colbert County, Alabama",1534877333,76430813,01033,54428,53335,43334,8702,262,224,14,35,764,1093,455,66,5,5,6,475,81,97.99,79.62,15.99,0.48,0.41,0.03,0.06,1.4,2.01,0.84,0.12,0.01,0.01,0.01,0.87,0.15,20.38
Conecuh County,"Conecuh County, Alabama",2201894769,6644940,01035,13228,13067,6764,6122,44,17,0,6,114,161,24,27,0,0,1,91,18,98.78,51.13,46.28,0.33,0.13,0,0.05,0.86,1.22,0.18,0.2,0,0,0.01,0.69,0.14,48.87
Coosa County,"Coosa County, Alabama",1685891075,39946646,01037,11539,11309,7604,3556,40,14,0,7,88,230,44,26,0,2,15,128,15,98.01,65.9,30.82,0.35,0.12,0,0.06,0.76,1.99,0.38,0.23,0,0.02,0.13,1.11,0.13,34.1
Covington County,"Covington County, Alabama",2668869505,34526309,01039,37765,37282,31751,4685,196,148,1,13,488,483,271,31,18,7,0,122,34,98.72,84.08,12.41,0.52,0.39,0,0.03,1.29,1.28,0.72,0.08,0.05,0.02,0,0.32,0.09,15.92
Crenshaw County,"Crenshaw County, Alabama",1576888006,5376392,01041,13906,13702,10020,3241,56,189,1,2,193,204,77,13,1,0,7,97,9,98.53,72.06,23.31,0.4,1.36,0.01,0.01,1.39,1.47,0.55,0.09,0.01,0,0.05,0.7,0.06,27.94
Cullman County,"Cullman County, Alabama",1903228333,52266921,01043,80406,76952,74568,821,397,339,18,41,768,3454,1565,35,11,4,0,1718,121,95.7,92.74,1.02,0.49,0.42,0.02,0.05,0.96,4.3,1.95,0.04,0.01,0,0,2.14,0.15,7.26
Dale County,"Dale County, Alabama",1453371157,4016457,01045,50251,47430,35705,9546,337,527,42,66,1207,2821,1531,133,34,7,2,816,298,94.39,71.05,19,0.67,1.05,0.08,0.13,2.4,5.61,3.05,0.26,0.07,0.01,0,1.62,0.59,28.95
Dallas County,"Dallas County, Alabama",2534807386,39134826,01047,43820,43511,12676,30314,78,144,6,15,278,309,93,109,7,5,5,69,21,99.29,28.93,69.18,0.18,0.33,0.01,0.03,0.63,0.71,0.21,0.25,0.02,0.01,0.01,0.16,0.05,71.07
DeKalb County,"DeKalb County, Alabama",2012662359,4123588,01049,71109,61419,57997,1029,865,166,35,41,1286,9690,2090,49,104,37,112,7010,288,86.37,81.56,1.45,1.22,0.23,0.05,0.06,1.81,13.63,2.94,0.07,0.15,0.05,0.16,9.86,0.41,18.44
Elmore County,"Elmore County, Alabama",1601867593,99862541,01051,79303,77174,59449,15814,269,514,50,74,1004,2129,1006,86,16,4,13,864,140,97.32,74.96,19.94,0.34,0.65,0.06,0.09,1.27,2.68,1.27,0.11,0.02,0.01,0.02,1.09,0.18,25.04
Escambia County,"Escambia County, Alabama",2447746932,20873208,01053,38319,37601,23508,12162,1274,86,12,20,539,718,276,58,14,6,0,323,41,98.13,61.35,31.74,3.32,0.22,0.03,0.05,1.41,1.87,0.72,0.15,0.04,0.02,0,0.84,0.11,38.65
Etowah County,"Etowah County, Alabama",1385618994,35322991,01055,104430,100983,82789,15716,372,657,30,87,1332,3447,1034,80,76,15,141,1888,213,96.7,79.28,15.05,0.36,0.63,0.03,0.08,1.28,3.3,0.99,0.08,0.07,0.01,0.14,1.81,0.2,20.72
Fayette County,"Fayette County, Alabama",1625631609,4392821,01057,17241,17037,14832,1958,47,37,0,11,152,204,78,11,5,0,0,91,19,98.82,86.03,11.36,0.27,0.21,0,0.06,0.88,1.18,0.45,0.06,0.03,0,0,0.53,0.11,13.97
Franklin County,"Franklin County, Alabama",1641587713,32897905,01059,31704,26994,25249,1211,121,51,2,32,328,4710,1071,17,94,12,8,3306,202,85.14,79.64,3.82,0.38,0.16,0.01,0.1,1.03,14.86,3.38,0.05,0.3,0.04,0.03,10.43,0.64,20.36
Geneva County,"Geneva County, Alabama",1487710425,11765293,01061,26790,25870,22692,2523,197,64,8,15,371,920,435,16,27,3,0,394,45,96.57,84.7,9.42,0.74,0.24,0.03,0.06,1.38,3.43,1.62,0.06,0.1,0.01,0,1.47,0.17,15.3
Greene County,"Greene County, Alabama",1676007032,33231212,01063,9045,8976,1562,7349,11,15,0,0,39,69,13,21,6,0,0,25,4,99.24,17.27,81.25,0.12,0.17,0,0,0.43,0.76,0.14,0.23,0.07,0,0,0.28,0.04,82.73
Hale County,"Hale County, Alabama",1667803914,32525967,01065,15760,15620,6213,9265,23,35,1,7,76,140,53,36,2,0,0,37,12,99.11,39.42,58.79,0.15,0.22,0.01,0.04,0.48,0.89,0.34,0.23,0.01,0,0,0.23,0.08,60.58
Henry County,"Henry County, Alabama",1454926258,16986789,01067,17302,16913,11731,4915,54,45,2,5,161,389,134,27,3,9,0,201,15,97.75,67.8,28.41,0.31,0.26,0.01,0.03,0.93,2.25,0.77,0.16,0.02,0.05,0,1.16,0.09,32.2
Houston County,"Houston County, Alabama",1501737720,4739984,01069,101547,98552,69731,26038,393,806,43,96,1445,2995,1322,138,53,14,6,1148,314,97.05,68.67,25.64,0.39,0.79,0.04,0.09,1.42,2.95,1.3,0.14,0.05,0.01,0.01,1.13,0.31,31.33
Jackson County,"Jackson County, Alabama",2791664869,126657194,01071,53227,51888,47937,1771,680,165,29,24,1282,1339,411,10,39,20,19,744,96,97.48,90.06,3.33,1.28,0.31,0.05,0.05,2.41,2.52,0.77,0.02,0.07,0.04,0.04,1.4,0.18,9.94
Jefferson County,"Jefferson County, Alabama",2878192209,32474487,01073,658466,632978,340213,275511,1431,9085,154,531,6053,25488,8953,1014,309,73,90,13827,1222,96.13,51.67,41.84,0.22,1.38,0.02,0.08,0.92,3.87,1.36,0.15,0.05,0.01,0.01,2.1,0.19,48.33
Lamar County,"Lamar County, Alabama",1566544654,1600679,01075,14564,14384,12542,1635,24,4,1,4,174,180,84,8,0,0,1,78,9,98.76,86.12,11.23,0.16,0.03,0.01,0.03,1.19,1.24,0.58,0.05,0,0,0.01,0.54,0.06,13.88
Lauderdale County,"Lauderdale County, Alabama",1729327931,138027479,01077,92709,90627,79228,9190,323,675,23,40,1148,2082,884,67,15,10,11,937,158,97.75,85.46,9.91,0.35,0.73,0.02,0.04,1.24,2.25,0.95,0.07,0.02,0.01,0.01,1.01,0.17,14.54
Lawrence County,"Lawrence County, Alabama",1788846568,68688464,01079,34339,33765,26420,3917,1928,41,5,25,1429,574,227,21,25,1,1,250,49,98.33,76.94,11.41,5.61,0.12,0.01,0.07,4.16,1.67,0.66,0.06,0.07,0,0,0.73,0.14,23.06
Lee County,"Lee County, Alabama",1573510728,21530362,01081,140247,135676,97900,31674,397,3615,66,164,1860,4571,2106,227,48,43,39,1709,399,96.74,69.81,22.58,0.28,2.58,0.05,0.12,1.33,3.26,1.5,0.16,0.03,0.03,0.03,1.22,0.28,30.19
Limestone County,"Limestone County, Alabama",1450228326,122381869,01083,82782,78191,65112,10350,487,911,26,83,1222,4591,1394,79,60,13,16,2783,246,94.45,78.65,12.5,0.59,1.1,0.03,0.1,1.48,5.55,1.68,0.1,0.07,0.02,0.02,3.36,0.3,21.35
Lowndes County,"Lowndes County, Alabama",1854199648,23723525,01085,11299,11212,2841,8283,25,14,0,4,45,87,18,27,0,0,0,27,15,99.23,25.14,73.31,0.22,0.12,0,0.04,0.4,0.77,0.16,0.24,0,0,0,0.24,0.13,74.86
Macon County,"Macon County, Alabama",1577005015,11194263,01087,21452,21220,3267,17631,28,76,2,12,204,232,52,98,1,0,0,57,24,98.92,15.23,82.19,0.13,0.35,0.01,0.06,0.95,1.08,0.24,0.46,0,0,0,0.27,0.11,84.77
Madison County,"Madison County, Alabama",2076116529,28771340,01089,334811,319407,221445,79517,2335,8167,321,471,7151,15404,6835,859,216,98,44,6248,1104,95.4,66.14,23.75,0.7,2.44,0.1,0.14,2.14,4.6,2.04,0.26,0.06,0.03,0.01,1.87,0.33,33.86
Marengo County,"Marengo County, Alabama",2530112461,14994547,01091,21027,20675,9607,10838,31,53,9,1,136,352,144,34,3,0,4,139,28,98.33,45.69,51.54,0.15,0.25,0.04,0,0.65,1.67,0.68,0.16,0.01,0,0.02,0.66,0.13,54.31
Marion County,"Marion County, Alabama",1922526826,3313145,01093,30776,30144,28509,1178,94,53,7,24,279,632,282,6,7,1,7,267,62,97.95,92.63,3.83,0.31,0.17,0.02,0.08,0.91,2.05,0.92,0.02,0.02,0,0.02,0.87,0.2,7.37
Marshall County,"Marshall County, Alabama",1465522757,148503356,01095,93019,81781,78060,1389,570,475,63,63,1161,11238,3404,105,136,3,40,7147,403,87.92,83.92,1.49,0.61,0.51,0.07,0.07,1.25,12.08,3.66,0.11,0.15,0,0.04,7.68,0.43,16.08
Mobile County,"Mobile County, Alabama",3184223082,1073750500,01097,412992,403056,243904,142272,3541,7507,157,428,5247,9936,4743,720,140,54,47,3457,775,97.59,59.06,34.45,0.86,1.82,0.04,0.1,1.27,2.41,1.15,0.17,0.03,0.01,0.01,0.84,0.19,40.94
Monroe County,"Monroe County, Alabama",2656485275,22643193,01099,23068,22848,12621,9581,256,67,4,8,311,220,97,33,4,0,5,58,23,99.05,54.71,41.53,1.11,0.29,0.02,0.03,1.35,0.95,0.42,0.14,0.02,0,0.02,0.25,0.1,45.29
Montgomery County,"Montgomery County, Alabama",2031190777,40571253,01101,229363,221049,88099,124928,520,4792,84,187,2439,8314,2557,549,69,29,87,4556,467,96.38,38.41,54.47,0.23,2.09,0.04,0.08,1.06,3.62,1.11,0.24,0.03,0.01,0.04,1.99,0.2,61.59
Morgan County,"Morgan County, Alabama",1500476319,51064861,01103,119490,110334,92585,14059,928,665,69,80,1948,9156,2819,126,114,26,38,5617,416,92.34,77.48,11.77,0.78,0.56,0.06,0.07,1.63,7.66,2.36,0.11,0.1,0.02,0.03,4.7,0.35,22.52
Perry County,"Perry County, Alabama",1863920409,10918516,01105,10591,10477,3142,7244,17,30,5,4,35,114,62,32,0,0,0,12,8,98.92,29.67,68.4,0.16,0.28,0.05,0.04,0.33,1.08,0.59,0.3,0,0,0,0.11,0.08,70.33
Pickens County,"Pickens County, Alabama",2282837059,22578169,01107,19746,19433,11027,8169,28,32,1,18,158,313,83,42,0,4,0,110,74,98.41,55.84,41.37,0.14,0.16,0.01,0.09,0.8,1.59,0.42,0.21,0,0.02,0,0.56,0.37,44.16
Pike County,"Pike County, Alabama",1740715643,2362806,01109,32899,32169,18887,11990,185,645,6,14,442,730,257,64,7,9,18,327,48,97.78,57.41,36.44,0.56,1.96,0.02,0.04,1.34,2.22,0.78,0.19,0.02,0.03,0.05,0.99,0.15,42.59
Randolph County,"Randolph County, Alabama",1503616599,9285288,01111,22913,22264,17280,4604,84,54,5,8,229,649,252,3,0,1,0,361,32,97.17,75.42,20.09,0.37,0.24,0.02,0.03,1,2.83,1.1,0.01,0,0,0,1.58,0.14,24.58
Russell County,"Russell County, Alabama",1660545751,15673340,01113,52947,51001,27591,21926,189,223,112,55,905,1946,858,209,30,13,1,636,199,96.32,52.11,41.41,0.36,0.42,0.21,0.1,1.71,3.68,1.62,0.39,0.06,0.02,0,1.2,0.38,47.89
St. Clair County,"St. Clair County, Alabama",1636619393,56300062,01115,83593,81877,72947,7098,252,512,41,64,963,1716,794,52,29,6,5,670,160,97.95,87.26,8.49,0.3,0.61,0.05,0.08,1.15,2.05,0.95,0.06,0.03,0.01,0.01,0.8,0.19,12.74
Shelby County,"Shelby County, Alabama",2032960300,63700594,01117,195085,183518,156371,20606,458,3699,62,250,2072,11567,5572,126,95,27,12,5123,612,94.07,80.16,10.56,0.23,1.9,0.03,0.13,1.06,5.93,2.86,0.06,0.05,0.01,0.01,2.63,0.31,19.84
Sumter County,"Sumter County, Alabama",2341057426,24436353,01119,13763,13677,3304,10283,11,33,1,0,45,86,22,33,0,0,3,26,2,99.38,24.01,74.71,0.08,0.24,0.01,0,0.33,0.62,0.16,0.24,0,0,0.02,0.19,0.01,75.99
Talladega County,"Talladega County, Alabama",1908239516,60944144,01121,82291,80620,53079,25953,230,329,6,60,963,1671,660,102,34,10,0,727,138,97.97,64.5,31.54,0.28,0.4,0.01,0.07,1.17,2.03,0.8,0.12,0.04,0.01,0,0.88,0.17,35.5
Tallapoosa County,"Tallapoosa County, Alabama",1855780057,128808796,01123,41616,40574,28838,11050,119,197,2,22,346,1042,249,33,2,0,6,691,61,97.5,69.3,26.55,0.29,0.47,0,0.05,0.83,2.5,0.6,0.08,0,0,0.01,1.66,0.15,30.7
Tuscaloosa County,"Tuscaloosa County, Alabama",3423328940,76395592,01125,194656,188707,126611,57401,455,2293,76,136,1735,5949,2393,210,71,13,41,2857,364,96.94,65.04,29.49,0.23,1.18,0.04,0.07,0.89,3.06,1.23,0.11,0.04,0.01,0.02,1.47,0.19,34.96
Walker County,"Walker County, Alabama",2049177420,36263761,01127,67023,65716,60587,3885,233,190,26,36,759,1307,559,43,18,5,10,603,69,98.05,90.4,5.8,0.35,0.28,0.04,0.05,1.13,1.95,0.83,0.06,0.03,0.01,0.01,0.9,0.1,9.6
Washington County,"Washington County, Alabama",2797722307,21650857,01129,17581,17430,11455,4360,1394,18,9,8,186,151,53,20,17,2,3,35,21,99.14,65.16,24.8,7.93,0.1,0.05,0.05,1.06,0.86,0.3,0.11,0.1,0.01,0.02,0.2,0.12,34.84
Wilcox County,"Wilcox County, Alabama",2301200113,48985152,01131,11670,11598,3110,8420,14,4,1,2,47,72,16,45,0,0,0,7,4,99.38,26.65,72.15,0.12,0.03,0.01,0.02,0.4,0.62,0.14,0.39,0,0,0,0.06,0.03,73.35
Winston County,"Winston County, Alabama",1587607882,48922827,01133,24484,23845,23237,115,139,59,8,4,283,639,172,0,24,1,20,352,70,97.39,94.91,0.47,0.57,0.24,0.03,0.02,1.16,2.61,0.7,0,0.1,0,0.08,1.44,0.29,5.09
Aleutians East Borough,"Aleutians East Borough, Alaska",18083148800,20792209033,02013,3141,2756,425,212,869,1113,19,1,117,385,235,7,7,17,0,83,36,87.74,13.53,6.75,27.67,35.43,0.6,0.03,3.72,12.26,7.48,0.22,0.22,0.54,0,2.64,1.15,86.47
Aleutians West Census Area,"Aleutians West Census Area, Alaska",11370762625,25190643524,02016,5561,4835,1745,318,841,1575,102,5,249,726,259,14,16,31,1,343,62,86.94,31.38,5.72,15.12,28.32,1.83,0.09,4.48,13.06,4.66,0.25,0.29,0.56,0.02,6.17,1.11,68.62
Anchorage Municipality,"Anchorage Municipality, Alaska",4415108963,663860984,02020,291826,269765,182814,15308,22047,23208,5776,562,20050,22061,9684,918,1083,372,125,6284,3595,92.44,62.64,5.25,7.55,7.95,1.98,0.19,6.87,7.56,3.32,0.31,0.37,0.13,0.04,2.15,1.23,37.36
Bethel Census Area,"Bethel Census Area, Alaska",1.05076E+11,12779523593,02050,17013,16832,1854,65,14056,158,18,6,675,181,40,0,53,2,9,39,38,98.94,10.9,0.38,82.62,0.93,0.11,0.04,3.97,1.06,0.24,0,0.31,0.01,0.05,0.23,0.22,89.1
Bristol Bay Borough,"Bristol Bay Borough, Alaska",1304947207,993830067,02060,997,973,476,0,330,8,3,0,156,24,5,0,4,0,0,4,11,97.59,47.74,0,33.1,0.8,0.3,0,15.65,2.41,0.5,0,0.4,0,0,0.4,1.1,52.26
Denali Borough,"Denali Borough, Alaska",33026000538,66068790,02068,1826,1784,1614,10,64,19,1,5,71,42,23,0,1,0,0,9,9,97.7,88.39,0.55,3.5,1.04,0.05,0.27,3.89,2.3,1.26,0,0.05,0,0,0.49,0.49,11.61
Dillingham Census Area,"Dillingham Census Area, Alaska",48092912615,6077223732,02070,4847,4746,855,11,3431,32,6,1,410,101,23,0,39,0,0,11,28,97.92,17.64,0.23,70.79,0.66,0.12,0.02,8.46,2.08,0.47,0,0.8,0,0,0.23,0.58,82.36
Fairbanks North Star Borough,"Fairbanks North Star Borough, Alaska",19005874393,273188119,02090,97581,91930,72259,4154,6669,2512,375,191,5770,5651,2916,269,210,79,21,1255,901,94.21,74.05,4.26,6.83,2.57,0.38,0.2,5.91,5.79,2.99,0.28,0.22,0.08,0.02,1.29,0.92,25.95
Haines Borough,"Haines Borough, Alaska",6005146534,1053874968,02100,2508,2461,2062,9,227,13,0,13,137,47,24,1,3,1,0,8,10,98.13,82.22,0.36,9.05,0.52,0,0.52,5.46,1.87,0.96,0.04,0.12,0.04,0,0.32,0.4,17.78
Hoonah-Angoon Census Area,"Hoonah-Angoon Census Area, Alaska",19489439091,8778085294,02105,2150,2073,993,8,850,12,1,0,209,77,21,0,40,0,0,6,10,96.42,46.19,0.37,39.53,0.56,0.05,0,9.72,3.58,0.98,0,1.86,0,0,0.28,0.47,53.81
Juneau City and Borough,"Juneau City and Borough, Alaska",6997968643,1429575134,02110,31275,29687,21065,259,3534,1879,213,40,2697,1588,749,20,158,40,5,346,270,94.92,67.35,0.83,11.3,6.01,0.68,0.13,8.62,5.08,2.39,0.06,0.51,0.13,0.02,1.11,0.86,32.65
Kenai Peninsula Borough,"Kenai Peninsula Borough, Alaska",41634915224,22473290427,02122,55400,53759,45879,248,3970,614,111,79,2858,1641,978,21,111,17,8,257,249,97.04,82.81,0.45,7.17,1.11,0.2,0.14,5.16,2.96,1.77,0.04,0.2,0.03,0.01,0.46,0.45,17.19
Ketchikan Gateway Borough,"Ketchikan Gateway Borough, Alaska",12583232994,4649414062,02130,13477,12939,8918,76,1831,936,24,14,1140,538,258,2,79,7,3,79,110,96.01,66.17,0.56,13.59,6.95,0.18,0.1,8.46,3.99,1.91,0.01,0.59,0.05,0.02,0.59,0.82,33.83
Kodiak Island Borough,"Kodiak Island Borough, Alaska",16963331761,14173062281,02150,13592,12596,7137,85,1759,2620,86,14,895,996,385,7,38,40,1,383,142,92.67,52.51,0.63,12.94,19.28,0.63,0.1,6.58,7.33,2.83,0.05,0.28,0.29,0.01,2.82,1.04,47.49
Lake and Peninsula Borough,"Lake and Peninsula Borough, Alaska",61258419419,24010457489,02164,1631,1588,362,9,1044,6,5,0,162,43,18,0,17,0,0,6,2,97.36,22.19,0.55,64.01,0.37,0.31,0,9.93,2.64,1.1,0,1.04,0,0,0.37,0.12,77.81
Matanuska-Susitna Borough,"Matanuska-Susitna Borough, Alaska",63734160198,1682737402,02170,88995,85694,73676,817,4735,1075,214,121,5056,3301,1864,39,166,21,7,519,685,96.29,82.79,0.92,5.32,1.21,0.24,0.14,5.68,3.71,2.09,0.04,0.19,0.02,0.01,0.58,0.77,17.21
Nome Census Area,"Nome Census Area, Alaska",59470685832,13768011766,02180,9492,9377,1511,27,7175,88,9,8,559,115,41,0,24,8,0,14,28,98.79,15.92,0.28,75.59,0.93,0.09,0.08,5.89,1.21,0.43,0,0.25,0.08,0,0.15,0.29,84.08
North Slope Borough,"North Slope Borough, Alaska",2.2972E+11,15801179317,02185,9430,9181,3059,91,5046,414,103,7,461,249,88,3,54,11,1,60,32,97.36,32.44,0.97,53.51,4.39,1.09,0.07,4.89,2.64,0.93,0.03,0.57,0.12,0.01,0.64,0.34,67.56
Northwest Arctic Borough,"Northwest Arctic Borough, Alaska",92132564828,13406688095,02188,7523,7465,830,35,6102,42,12,3,441,58,16,2,19,0,0,14,7,99.23,11.03,0.47,81.11,0.56,0.16,0.04,5.86,0.77,0.21,0.03,0.25,0,0,0.19,0.09,88.97
Petersburg Census Area,"Petersburg Census Area, Alaska",8500293927,6221367848,02195,3815,3685,2649,15,603,96,6,13,303,130,62,0,11,4,1,29,23,96.59,69.44,0.39,15.81,2.52,0.16,0.34,7.94,3.41,1.63,0,0.29,0.1,0.03,0.76,0.6,30.56
Prince of Wales-Hyder Census Area,"Prince of Wales-Hyder Census Area, Alaska",10160193695,9739418122,02198,5559,5432,2756,17,2165,21,21,4,448,127,43,0,42,0,0,16,26,97.72,49.58,0.31,38.95,0.38,0.38,0.07,8.06,2.28,0.77,0,0.76,0,0,0.29,0.47,50.42
Sitka City and Borough,"Sitka City and Borough, Alaska",7434143788,5027404028,02220,8881,8444,5641,43,1442,509,29,11,769,437,157,4,51,20,1,102,102,95.08,63.52,0.48,16.24,5.73,0.33,0.12,8.66,4.92,1.77,0.05,0.57,0.23,0.01,1.15,1.15,36.48
Skagway Municipality,"Skagway Municipality, Alaska",1171515798,30331334,02230,968,947,872,0,34,5,1,0,35,21,13,0,0,0,0,4,4,97.83,90.08,0,3.51,0.52,0.1,0,3.62,2.17,1.34,0,0,0,0,0.41,0.41,9.92
Southeast Fairbanks Census Area,"Southeast Fairbanks Census Area, Alaska",64150915284,752795246,02240,7029,6795,5535,71,797,64,11,6,311,234,116,5,11,0,7,63,32,96.67,78.75,1.01,11.34,0.91,0.16,0.09,4.42,3.33,1.65,0.07,0.16,0,0.1,0.9,0.46,21.25
Valdez-Cordova Census Area,"Valdez-Cordova Census Area, Alaska",88680877051,15799689879,02261,9636,9287,6949,45,1270,350,54,1,618,349,178,1,45,4,0,45,76,96.38,72.11,0.47,13.18,3.63,0.56,0.01,6.41,3.62,1.85,0.01,0.47,0.04,0,0.47,0.79,27.89
Wade Hampton Census Area,"Wade Hampton Census Area, Alaska",44240705695,6711999401,02270,7459,7452,199,1,7082,17,0,3,150,7,2,0,3,1,0,0,1,99.91,2.67,0.01,94.95,0.23,0,0.04,2.01,0.09,0.03,0,0.04,0.01,0,0,0.01,97.33
Wrangell City and Borough,"Wrangell City and Borough, Alaska",6582411037,2384276261,02275,2369,2332,1699,4,381,32,1,1,214,37,20,0,3,1,0,4,9,98.44,71.72,0.17,16.08,1.35,0.04,0.04,9.03,1.56,0.84,0,0.13,0.04,0,0.17,0.38,28.28
Yakutat City and Borough,"Yakutat City and Borough, Alaska",19812002035,4696710283,02282,662,645,268,2,235,27,12,0,101,17,13,0,2,0,0,1,1,97.43,40.48,0.3,35.5,4.08,1.81,0,15.26,2.57,1.96,0,0.3,0,0,0.15,0.15,59.52
Yukon-Koyukuk Census Area,"Yukon-Koyukuk Census Area, Alaska",3.76856E+11,5956563857,02290,5588,5522,1218,9,3967,14,6,2,306,66,25,1,25,0,0,7,8,98.82,21.8,0.16,70.99,0.25,0.11,0.04,5.48,1.18,0.45,0.02,0.45,0,0,0.13,0.14,78.2
Apache County,"Apache County, Arizona",29001443825,54175788,04001,71518,67405,14568,157,51360,185,24,27,1084,4113,2066,18,794,18,2,877,338,94.25,20.37,0.22,71.81,0.26,0.03,0.04,1.52,5.75,2.89,0.03,1.11,0.03,0,1.23,0.47,79.63
Cochise County,"Cochise County, Arizona",15969063883,137025224,04003,131346,88803,76805,4936,989,2410,379,223,3061,42543,26280,529,600,115,39,12766,2214,67.61,58.48,3.76,0.75,1.83,0.29,0.17,2.33,32.39,20.01,0.4,0.46,0.09,0.03,9.72,1.69,41.52
